model,task,decode_batch,team_size,rounds,carry_history,run_id,n_queries,per_query_energy_j,per_query_in_tok,per_query_out_tok,wall_latency_s
Qwen/Qwen2.5-7B-Instruct,gpqa,4,2,3,0,0,32,566.494,3077.2,608.8,60.91
Qwen/Qwen2.5-7B-Instruct,gpqa,4,5,3,0,0,32,1719.878,10765.5,1801.6,185.44
Qwen/Qwen2.5-7B-Instruct,gpqa,4,10,3,0,0,32,3255.339,31702.2,3304.8,351.41
Qwen/Qwen2.5-7B-Instruct,gpqa,4,20,3,0,0,32,7955.588,106008.5,7235.8,858.57
Qwen/Qwen2.5-7B-Instruct,gpqa,4,30,3,0,0,32,13545.444,223664.0,11057.0,1460.17
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,2,3,0,1,32,483.662,1872.3,531.4,52.11
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,5,3,0,1,32,1225.076,7349.0,1336.9,132.15
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,10,3,0,1,32,2677.669,23769.7,2774.4,288.98
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,20,3,0,1,32,6316.796,84752.7,5816.5,682.07
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,30,3,0,1,32,10899.787,184822.0,9031.4,1176.29
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,2,3,0,1,32,645.291,1880.7,727.5,69.48
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,5,3,0,1,32,1903.201,8214.8,2095.5,205.13
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,10,3,0,1,32,3838.209,27852.9,4013.7,414.11
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,20,3,0,1,32,8929.513,103132.9,8402.9,963.05
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,30,3,0,1,32,14280.981,223726.6,12176.3,1538.68
Qwen/Qwen2.5-7B-Instruct,gpqa,4,2,3,0,1,32,546.111,2472.9,591.8,58.9
Qwen/Qwen2.5-7B-Instruct,gpqa,4,5,3,0,1,32,1431.243,9046.0,1550.8,154.54
Qwen/Qwen2.5-7B-Instruct,gpqa,4,10,3,0,1,32,3068.64,28076.3,3131.0,331.32
Qwen/Qwen2.5-7B-Instruct,gpqa,4,20,3,0,1,32,7315.562,96733.3,6616.1,789.88
Qwen/Qwen2.5-7B-Instruct,gpqa,4,30,3,0,1,32,12426.071,207331.1,9991.1,1340.54
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,2,3,0,2,32,478.236,1833.8,519.1,51.43
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,5,3,0,2,32,1210.904,7212.7,1309.8,130.69
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,10,3,0,2,32,2691.418,23403.8,2757.1,290.67
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,20,3,0,2,32,6236.359,83681.3,5649.7,673.9
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,4,30,3,0,2,32,10499.023,181020.9,8501.5,1133.26
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,2,3,0,2,32,821.003,1835.3,828.7,88.38
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,5,3,0,2,32,1743.327,7994.2,1913.8,187.89
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,10,3,0,2,32,3728.32,27366.9,3851.8,402.08
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,20,3,0,2,32,8650.098,100814.5,8088.9,933.05
Qwen/Qwen2.5-7B-Instruct,gsmhard,4,30,3,0,2,32,14003.406,219843.8,11646.1,1509.51
Qwen/Qwen2.5-7B-Instruct,gpqa,4,2,3,0,2,32,498.522,2995.2,529.2,53.76
Qwen/Qwen2.5-7B-Instruct,gpqa,4,5,3,0,2,32,1337.266,10314.9,1447.5,144.23
Qwen/Qwen2.5-7B-Instruct,gpqa,4,10,3,0,2,32,2905.899,30373.4,2941.9,313.77
Qwen/Qwen2.5-7B-Instruct,gpqa,4,20,3,0,2,32,6923.573,100152.9,6191.7,747.66
Qwen/Qwen2.5-7B-Instruct,gpqa,4,30,3,0,2,32,11815.239,209909.2,9349.1,1274.4
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,8,2,3,0,0,32,254.876,1843.6,517.2,27.57
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,8,5,3,0,0,32,653.14,7161.4,1305.4,70.71
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,8,10,3,0,0,32,1501.141,23326.6,2724.7,162.14
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,8,20,3,0,0,32,3744.354,83530.8,5571.0,404.33
Qwen/Qwen2.5-7B-Instruct,mmlu_hard,8,30,3,0,0,32,6850.308,180740.0,8551.8,739.48
Qwen/Qwen2.5-7B-Instruct,gsmhard,8,2,3,0,0,32,405.422,1863.3,822.3,43.67
Qwen/Qwen2.5-7B-Instruct,gsmhard,8,5,3,0,0,32,962.228,8105.2,1999.0,103.82
Qwen/Qwen2.5-7B-Instruct,gsmhard,8,10,3,0,0,32,2192.599,27760.6,4085.6,236.44
Qwen/Qwen2.5-7B-Instruct,gsmhard,8,20,3,0,0,32,5381.997,102219.4,8481.0,580.41
Qwen/Qwen2.5-7B-Instruct,gsmhard,8,30,3,0,0,32,9156.734,222323.6,12238.4,986.53
Qwen/Qwen2.5-7B-Instruct,gpqa,8,2,3,0,0,32,338.436,3099.1,640.0,36.47
